iter	Passed	Remaining
0	50	50095
1	50	25414
2	51	17172
3	52	13054
4	53	10577
5	53	8938
6	54	7757
7	55	6873
8	56	6184
9	56	5636
10	57	5190
11	58	4815
12	59	4495
13	59	4224
14	60	3987
15	61	3784
16	62	3599
17	63	3437
18	63	3290
19	64	3160
20	65	3043
21	66	2936
22	66	2835
23	67	2744
24	68	2659
25	69	2584
26	69	2512
27	70	2445
28	71	2384
29	72	2328
30	72	2273
31	73	2224
32	74	2177
33	75	2132
34	75	2091
35	76	2049
36	77	2012
37	78	1975
38	78	1941
39	79	1909
40	80	1878
41	81	1849
42	81	1821
43	82	1793
44	83	1768
45	84	1744
46	84	1720
47	85	1697
48	86	1675
49	87	1654
50	87	1634
51	88	1616
52	89	1596
53	90	1579
54	90	1562
55	91	1547
56	92	1530
57	93	1514
58	94	1500
59	94	1484
60	95	1470
61	96	1456
62	97	1442
63	97	1429
64	98	1416
65	99	1403
66	99	1390
67	100	1373
68	100	1362
69	101	1351
70	102	1341
71	103	1330
72	103	1320
73	104	1310
74	105	1300
75	106	1292
76	106	1282
77	107	1273
78	108	1264
79	109	1255
80	109	1247
81	110	1238
82	111	1230
83	112	1222
84	112	1211
85	113	1204
86	113	1194
87	114	1187
88	115	1180
89	116	1173
90	116	1168
91	117	1160
92	118	1153
93	119	1147
94	119	1141
95	120	1135
96	121	1130
97	122	1123
98	122	1118
99	123	1112
100	124	1107
101	124	1098
102	125	1093
103	126	1088
104	127	1082
105	127	1077
106	128	1072
107	129	1067
108	129	1062
109	130	1057
110	131	1052
111	132	1047
112	132	1042
113	133	1038
114	134	1034
115	134	1028
116	135	1024
117	136	1020
118	137	1015
119	137	1011
120	138	1006
121	139	1001
122	139	993
123	139	988
124	140	983
125	141	978
126	141	973
127	141	967
128	142	962
129	143	957
130	143	953
131	144	949
132	144	944
133	145	940
134	146	935
135	146	931
136	147	926
137	147	921
138	147	916
139	148	911
140	148	907
141	149	902
142	149	898
143	150	893
144	150	889
145	151	884
146	151	880
147	152	876
148	152	872
149	153	867
150	153	863
151	154	859
152	154	855
153	154	851
154	155	847
155	155	843
156	156	838
157	156	834
158	157	830
159	157	826
160	157	822
161	158	818
162	158	814
163	159	810
164	159	806
165	159	802
166	160	799
167	160	795
168	161	791
169	161	788
170	161	784
171	162	781
172	162	777
173	163	773
174	163	770
175	163	766
176	164	762
177	164	759
178	164	756
179	165	752
180	165	748
181	165	745
182	166	741
183	166	738
184	166	735
185	167	731
186	167	728
187	167	725
188	168	721
189	168	718
190	169	715
191	169	712
192	169	709
193	170	706
194	170	703
195	170	700
196	171	698
197	171	695
198	171	692
199	172	690
200	173	687
201	173	684
202	173	681
203	173	678
204	174	675
205	174	672
206	174	669
207	175	666
208	175	663
209	175	661
210	176	658
211	176	655
212	176	653
213	177	650
214	177	648
215	177	646
216	178	643
217	178	641
218	179	638
219	179	636
220	179	634
221	180	631
222	180	629
223	181	627
224	181	624
225	181	622
226	182	620
227	182	618
228	183	616
229	183	613
230	183	611
231	184	609
232	184	607
233	185	605
234	185	603
235	185	601
236	186	599
237	186	597
238	186	595
239	187	593
240	187	591
241	188	589
242	188	587
243	188	585
244	189	583
245	189	581
246	190	579
247	190	577
248	190	575
249	191	573
250	191	571
251	192	570
252	192	568
253	192	566
254	193	564
255	193	562
256	194	561
257	194	559
258	194	557
259	195	556
260	195	554
261	196	552
262	196	550
263	196	549
264	197	547
265	197	545
266	198	544
267	198	542
268	199	540
269	199	539
270	199	537
271	200	535
272	200	534
273	201	533
274	201	531
275	201	529
276	202	528
277	202	526
278	203	524
279	203	523
280	203	521
281	204	520
282	204	518
283	205	516
284	205	515
285	205	513
286	206	512
287	206	510
288	206	509
289	207	507
290	207	505
291	208	504
292	208	502
293	208	501
294	209	499
295	209	498
296	209	496
297	210	495
298	210	493
299	211	492
300	211	490
301	211	489
302	212	487
303	212	486
304	212	484
305	213	483
306	213	482
307	213	480
308	214	479
309	214	477
310	215	476
311	215	475
312	215	473
313	216	472
314	216	470
315	216	469
316	217	468
317	217	466
318	218	465
319	218	464
320	218	462
321	219	461
322	219	460
323	219	458
324	220	457
325	220	456
326	221	454
327	221	453
328	221	452
329	222	450
330	222	449
331	222	448
332	223	447
333	223	445
334	223	444
335	224	443
336	224	442
337	225	440
338	225	439
339	225	438
340	226	437
341	226	435
342	226	434
343	227	433
344	227	432
345	228	430
346	228	429
347	228	428
348	229	427
349	229	426
350	229	425
351	230	423
352	230	422
353	230	421
354	231	420
355	231	419
356	232	418
357	232	416
358	232	415
359	233	414
360	233	413
361	233	412
362	234	411
363	234	409
364	235	408
365	235	407
366	235	406
367	236	405
368	236	404
369	236	403
370	237	402
371	237	401
372	238	400
373	238	399
374	238	398
375	239	397
376	239	395
377	240	394
378	240	393
379	240	392
380	241	391
381	241	390
382	241	389
383	242	388
384	242	387
385	243	386
386	243	385
387	243	384
388	244	383
389	244	382
390	244	381
391	245	380
392	245	379
393	245	378
394	246	377
395	246	376
396	247	375
397	247	374
398	247	373
399	248	372
400	248	371
401	248	370
402	249	369
403	249	368
404	249	367
405	250	366
406	250	365
407	251	364
408	251	363
409	251	362
410	252	361
411	252	360
412	252	359
413	253	358
414	253	357
415	254	356
416	254	355
417	254	354
418	255	353
419	255	352
420	255	352
421	256	351
422	256	350
423	257	349
424	257	348
425	257	347
426	258	346
427	258	345
428	258	344
429	259	343
430	259	342
431	260	342
432	260	341
433	260	340
434	261	339
435	261	338
436	261	337
437	262	336
438	262	335
439	263	334
440	263	333
441	263	333
442	264	332
