iter	Passed	Remaining
0	50	50253
1	50	25347
2	51	17030
3	51	12872
4	52	10429
5	52	8750
6	53	7545
7	56	6958
8	57	6278
9	57	5691
10	57	5208
11	58	4816
12	59	4491
13	59	4195
14	59	3934
15	60	3709
16	61	3537
17	61	3356
18	61	3195
19	62	3049
20	62	2917
21	62	2798
22	63	2694
23	63	2595
24	64	2503
25	64	2422
26	65	2342
27	65	2269
28	65	2201
29	66	2137
30	66	2077
31	66	2022
32	67	1970
33	67	1921
34	68	1876
35	68	1834
36	68	1792
37	69	1755
38	69	1721
39	70	1687
40	70	1654
41	71	1623
42	71	1594
43	72	1567
44	73	1555
45	73	1529
46	74	1504
47	74	1480
48	75	1458
49	75	1435
50	75	1413
51	76	1394
52	76	1375
53	77	1356
54	77	1338
55	78	1319
56	78	1301
57	79	1284
58	79	1267
59	79	1251
60	80	1236
61	80	1220
62	81	1204
63	81	1190
64	81	1177
65	82	1164
66	82	1150
67	83	1138
68	83	1127
69	84	1116
70	84	1105
71	84	1094
72	85	1083
73	86	1083
74	87	1074
75	87	1065
76	88	1056
77	88	1048
78	89	1039
79	89	1032
80	90	1024
81	90	1015
82	90	1004
83	91	995
84	91	987
85	92	980
86	92	972
87	93	965
88	93	957
89	93	949
90	94	942
91	94	935
92	95	927
93	95	921
94	95	914
95	96	908
96	96	902
97	97	896
98	97	889
99	98	884
100	98	878
101	99	873
102	99	867
103	100	861
104	100	856
105	101	855
106	101	851
107	102	846
108	102	841
109	103	836
110	103	831
111	104	826
112	104	821
113	105	816
114	105	812
115	105	807
116	106	802
117	106	798
118	107	793
119	107	789
120	107	784
121	108	779
122	108	774
123	109	770
124	109	766
125	109	763
126	110	758
127	110	754
128	111	750
129	111	746
130	111	742
131	112	739
132	112	735
133	113	731
134	113	727
135	114	724
136	114	721
137	114	717
138	115	715
139	115	711
140	116	709
141	116	705
142	117	703
143	118	703
144	119	703
145	119	700
146	120	698
147	120	694
148	121	692
149	121	689
150	122	686
151	122	683
152	123	681
153	123	678
154	123	675
155	124	672
156	124	669
157	125	666
158	125	663
159	125	660
160	126	657
161	126	654
162	126	651
163	127	648
164	127	646
165	128	643
166	128	641
